Frequency, Gain
281.078, 0.416575
738.31, 0.523892
600.457, 1.00671
29.2241, 2.24774
2681.19, 1.0841
2952.93, 0.122726
1863.82, 0.866812
252.677, 0.204253
3199.23, 0.525371
2360.36, 0.686985
837.226, 0.990313
1250.09, 0.26294
2175.66, 0.507869
1171.27, 1.52773
815.876, 0.144926
3981.67, 0.187165
3317.55, 0.706505
178.2, 1.01486
110.418, 0.654573
1099.8, 0.0914967
2007.23, 0.195104
81.6813, 0.747838
2727.4, 0.212413
2919.42, 0.822721
3092.69, 0.594235
615.687, 0.116824
6924.71, 0.404474
4788.5, 0.161162
1373.44, 0.908361
5216.7, 0.862222
978.775, 0.587784
1602.18, 0.218559
4194.87, 0.681571
11580.3, 0.337934
2758.16, 0.0424516
1493.52, 0.125736
4110.41, 0.428767
2188.6, 0.627203
25.634, 0.420671
13.7443, 0.675118
2967.61, 0.626
241.7, 0.0826329
1818.63, 2.87148
99.9533, 0.389075
769.292, 0.43896
241.259, 0.095356
2123.29, 1.09536
396.56, 1.45165
745.744, 0.238738
1501.53, 0.233489
49.1232, 2.913
2487.31, 0.88459
775.125, 1.30653
6910.18, 0.755755
3370.36, 0.838365
953.945, 0.332447
493.433, 0.380967
1231.2, 0.0995403
2411.4, 1.02623
516.744, 0.669825
3451.08, 0.0795541
54.9614, 0.112637
422.135, 0.53349
218.659, 2.16766
3503.86, 0.714146
234.114, 0.288334
2722.45, 1.26755
777.716, 2.4575
399.193, 1.15344
69.1665, 0.166205
384.584, 0.64633
144.032, 0.984251
5.54953, 0.522139
142.394, 0.723469
1039.09, 1.23107
1091.42, 0.319221
5583.99, 0.696844
1939.39, 0.111572
2696.71, 0.675048
5589.97, 0.0289393
76.4626, 0.364149
639.557, 0.030973
6096.48, 0.151162
815.39, 0.294055
232.423, 2.60145
670.296, 0.389107
4530.54, 0.181356
3324.11, 2.40146
58.9973, 1.05586
5578.47, 0.527359
400.114, 0.944281
3820.05, 1.38284
622.949, 0.736296
707.277, 0.035251
99.9299, 1.50475
3653.01, 0.0722396
4111.55, 0.119474
269.302, 0.86288
1302.3, 1.45421
1572.69, 0.330003
