Frequency, Gain
4357.12, 0.914376
940.088, 0.105891
970.465, 0.856747
1130.22, 2.03478
446.423, 0.285405
1565.06, 0.189238
1415.93, 0.169214
1613.32, 0.198067
847.151, 0.257278
4665.12, 0.116915
1488.6, 1.52228
9159.41, 0.279478
4765.05, 0.619232
1234.41, 0.764594
377.631, 1.64051
215.211, 0.88587
144.918, 1.6976
1226.25, 0.390382
4186.43, 0.0553317
9150.72, 0.296613
3843.23, 0.936948
529.385, 1.46184
2177.57, 2.5966
533.992, 0.872775
1346.79, 0.103499
1031.24, 0.972403
816.397, 0.563445
747.239, 0.289127
1631.48, 0.404178
657.444, 0.865813
280.309, 0.581835
1631.1, 0.0151957
1039.19, 0.821941
886.57, 0.296718
2216.56, 0.0276428
6855.48, 1.07204
1780.34, 0.24776
2839.41, 0.309229
268.999, 1.20631
901.705, 0.0175167
1916.08, 0.996083
1021.15, 0.0943115
1393.96, 0.657197
2378.71, 0.291119
2413.2, 0.515783
2831.28, 0.122483
4396.17, 0.723327
9085.19, 0.1786
816.735, 1.67274
140.048, 1.10977
2495.66, 0.333392
1431.41, 0.100345
3721.2, 1.74227
2195.21, 0.558367
585.929, 1.13131
370.296, 0.805418
392.254, 1.72664
1324.59, 1.29991
1049.3, 1.45816
1036.6, 0.236594
1299.19, 0.539684
1608.03, 0.0657522
3337.52, 0.934332
2199.45, 0.417477
2230.06, 0.199323
3330.37, 0.222898
4053.51, 1.13835
221.996, 0.0155001
7435.21, 0.267637
1725.95, 1.20734
358.027, 0.113487
1393.65, 0.133074
3232, 0.930041
5978.37, 0.553834
65.0875, 0.841166
1159.7, 1.01201
3472.62, 0.62174
458.655, 0.917036
580.908, 1.16593
1475.33, 0.0684098
1979.85, 0.532048
9828.4, 0.0702257
7533.09, 0.534637
254.833, 0.26895
657.804, 0.0400518
3304.21, 0.00208333
3716.49, 2.33381
1952.64, 0.186603
228.074, 0.563309
1540.13, 0.103859
2378.64, 0.11031
3998.61, 0.0580449
4184.54, 1.79646
2025.61, 0.26966
663.642, 0.13766
1071.63, 0.101599
963.852, 1.13618
553.193, 0.184166
15.5106, 0.44395
377.628, 1.55554
