Frequency, Gain
284.643, 0.101041
1716.61, 0.671277
728.619, 0.183658
40.2833, 0.243705
480.675, 0.31058
467.83, 0.259555
1362.81, 0.247801
1216.6, 0.34923
626.488, 0.137032
2460.55, 0.388839
4138.77, 0.146691
26.7325, 0.874326
2779.89, 1.30231
9026.24, 0.186199
320.952, 0.934796
1308.84, 0.770167
1894.32, 0.457528
765.626, 0.0791545
828.109, 0.0243267
1168.65, 0.149846
3071.19, 0.0702435
9915.48, 1.57063
4107.1, 0.621794
675.425, 2.5005
2066.23, 0.427709
7249.61, 1.28445
1747.28, 0.574574
1385.06, 1.49309
521.28, 1.45639
2207.67, 2.42861
1184.02, 0.478698
1362, 1.57344
655.594, 0.903083
2154.5, 0.0293747
4366.65, 0.928787
10955.8, 1.53695
682.363, 1.5045
298.502, 0.751082
2898.33, 0.131521
5219.15, 0.387811
895.618, 0.152128
75.7418, 1.14169
1293.65, 1.54792
201.397, 0.871449
2078.87, 0.567815
545.131, 1.02295
2035.73, 0.764828
2362.96, 1.70468
6645.44, 0.416869
2754.13, 1.73043
1232.12, 0.148696
589.93, 0.251986
4892.07, 1.56569
2198.22, 1.35228
400.114, 0.615334
2295.27, 0.958229
1204.43, 0.226016
379.315, 0.0998684
115.062, 2.15311
492.59, 0.363743
1079.41, 0.733519
1358.42, 0.227601
694.728, 0.45599
784.56, 0.809823
2968.78, 0.57326
2574.74, 0.421237
166.679, 0.0776357
81.0794, 0.547851
2505.84, 1.48785
3939.16, 0.0123028
2568.9, 0.233955
326.471, 1.03384
2229.72, 0.282532
283.68, 1.09908
515.089, 0.701001
501.862, 0.64941
2319.01, 0.0516156
2131.06, 2.00242
182.399, 1.09826
1871.18, 0.136199
524.007, 0.0572209
106.668, 0.77713
843.219, 0.611463
2366.13, 2.2689
313.912, 0.414638
388.407, 0.508487
3508.85, 0.185315
195.535, 0.155805
2026.2, 0.328169
630.029, 0.0516689
5334.27, 0.319263
3171.22, 0.594477
238.008, 0.747714
5383.67, 0.189444
60.5229, 0.962368
2691.68, 0.434678
586.726, 0.107276
2777.77, 0.481424
1062.64, 0.126407
8058.18, 0.423402
