Frequency, Gain
1168.81, 0.286596
585.243, 1.4867
403.477, 1.75725
7201.01, 0.833689
2565.59, 0.261031
289.077, 0.643199
909.943, 1.31268
224.113, 0.14533
1008.63, 0.532893
240.69, 1.14169
1591.48, 0.322014
1418.6, 1.05043
1856.94, 0.409099
1232.86, 1.14474
3583.68, 0.0293569
1002.85, 0.0310736
820.276, 1.8632
1032.18, 0.20825
2454.55, 0.561073
6290.7, 1.89096
201.051, 0.206954
4384.16, 0.612505
411.266, 0.619625
4085.64, 0.869796
3308.81, 0.55529
6619.81, 0.569999
93.9879, 0.149934
5208.53, 0.170952
3968.26, 0.0536612
70.2326, 1.37097
8350.45, 1.03595
2149.57, 0.429084
2346.96, 0.115553
2889.84, 0.6096
2027.88, 0.51939
2966.48, 0.838102
1204.69, 1.05708
2983.53, 0.392051
662.372, 0.156667
5755.6, 0.272602
1115.89, 0.159475
2584.05, 0.32103
969.294, 0.0615961
3.76343, 0.26393
108.7, 1.94109
441.197, 0.25211
2194.94, 1.13913
268.912, 0.118316
1266.86, 0.160748
1531.4, 0.219705
5824.39, 0.109767
996.823, 0.856603
576.969, 2.2274
1335.23, 0.682442
1187.61, 1.19789
1116.97, 0.739555
1731.48, 0.272991
1049.65, 0.397923
2471.02, 0.486068
1303.15, 0.176488
3553.65, 0.272234
497.184, 1.59023
1024.43, 1.79286
2346.83, 0.857112
320.045, 0.0584644
3244.35, 0.0154666
1229.79, 0.610406
2108.03, 0.650952
2130.89, 0.559767
377.112, 0.298258
754.274, 0.321286
846.397, 0.0621304
4110.41, 0.0434354
855.878, 0.129847
379.38, 0.268496
3751.31, 0.10298
1045.5, 0.0635128
591.705, 0.909459
1107.5, 0.458262
2418.93, 0.010008
393.155, 0.491993
3868.62, 0.0434769
282.622, 0.419026
78.8415, 1.48625
166.615, 0.0941463
2039.76, 0.651796
1018.58, 0.636165
2665.99, 0.213554
1055.9, 2.05893
5812, 0.993028
629.247, 0.0227034
3647.57, 0.9194
181.764, 1.15669
2214.95, 0.0687958
650.12, 0.531726
1450.99, 1.22986
1700.05, 0.706128
3692.07, 0.131498
596.116, 1.09837
5999.44, 0.80248
