Frequency, Gain
487.976, 1.21272
879.973, 0.4136
311.067, 0.0355056
1017.87, 0.917458
40.6271, 0.11433
6429.98, 0.728158
888.235, 0.996265
2246.6, 2.14726
2914.18, 1.68064
668.121, 0.316277
356.072, 0.486871
2375.35, 0.184773
1226.32, 0.527163
3226.59, 0.189033
3001.22, 0.375619
626.061, 3.10731
1008.29, 2.35055
6577.17, 1.53351
2849.06, 0.15179
279.811, 0.230907
460.304, 0.148305
1795.26, 0.479163
182.105, 0.226711
1047.67, 0.760366
3166.38, 1.3812
2752.66, 0.104242
3220.87, 0.169652
1296.73, 0.624457
882.913, 0.247872
80.7968, 1.22476
1806.59, 0.661636
3400.41, 0.913047
5142.09, 0.286298
1783.13, 1.87259
1902.83, 0.806401
499.278, 0.216681
759.782, 1.25919
467.224, 1.15766
3136.83, 1.24858
3735.94, 0.133757
2821.69, 0.171506
1526.86, 0.222539
2205.92, 0.328872
1478.99, 1.21862
1875.36, 0.296878
4215.28, 0.562086
2248.28, 0.0431451
4424.15, 0.515472
2793.1, 0.291468
392.045, 0.166142
484.351, 0.0702367
4956.73, 0.857998
4242.28, 0.974097
1418.4, 1.03225
2995.86, 0.396915
161.653, 0.0763181
629.31, 3.517
2474.47, 0.184685
123.944, 0.16377
229.244, 0.0873324
975.081, 0.702396
4924.73, 0.471854
7529, 0.39935
658.809, 0.384636
2324.53, 1.43709
827.507, 0.35804
2509.76, 0.533812
6244.04, 0.116197
740.698, 1.36376
796.573, 0.190688
2063.66, 2.36262
44.2104, 1.71393
5090.57, 0.696266
545.863, 0.0986992
1814.74, 1.27996
798.033, 1.23451
2167.47, 0.247652
2246.86, 0.847887
3298.33, 1.74686
1750.77, 1.1248
1106.8, 0.468191
2276.86, 2.36263
313.192, 0.0885534
208.358, 1.87614
3574.01, 0.0305234
2385.75, 0.597906
462.149, 0.0337121
204.145, 0.447606
52.0533, 0.090369
427.374, 0.484387
1354.62, 2.92983
2580.37, 2.71322
8801.64, 0.247288
2646.71, 1.12331
156.217, 0.0590185
2517.47, 0.351614
2409.99, 0.285528
323.296, 0.25024
97.1956, 0.649881
1182.15, 0.741359
